frame_index,timestamp_sec,car,motorcycle,bus,truck,pedestrian,total_vehicles,two_wheeler_share_pct,detection_count
0,0.0,0,0,0,0,0,0,0.0,0
12,0.5,0,0,0,0,0,0,0.0,0
24,1.0,0,0,0,0,0,0,0.0,0
36,1.5,0,0,0,0,0,0,0.0,0
48,2.0,0,0,0,0,0,0,0.0,0
60,2.5,0,0,0,0,0,0,0.0,0
72,3.0,0,0,0,0,0,0,0.0,0
84,3.5,0,0,0,0,0,0,0.0,0
96,4.0,0,0,0,0,0,0,0.0,0
108,4.5,0,0,0,0,0,0,0.0,0
120,5.0,0,0,0,0,0,0,0.0,0
132,5.5,0,0,0,0,0,0,0.0,0
144,6.0,0,0,0,0,0,0,0.0,0
156,6.5,0,0,0,0,0,0,0.0,0
168,7.0,0,0,0,0,0,0,0.0,0
180,7.5,0,0,0,0,0,0,0.0,0
192,8.0,0,0,0,0,0,0,0.0,0
204,8.5,0,0,0,0,0,0,0.0,0
216,9.0,2,0,0,0,0,2,0.0,2
228,9.5,0,0,0,0,0,0,0.0,0
240,10.0,0,0,0,0,0,0,0.0,0
252,10.5,0,0,0,0,0,0,0.0,0
264,11.0,3,0,0,0,1,3,0.0,4
276,11.5,1,0,0,0,1,1,0.0,2
288,12.0,1,0,0,0,0,1,0.0,1
300,12.5,0,0,0,0,0,0,0.0,0
312,13.0,0,0,0,0,0,0,0.0,0
324,13.5,0,0,0,0,0,0,0.0,0
336,14.0,0,0,0,0,0,0,0.0,0
348,14.5,0,0,0,0,0,0,0.0,0
360,15.0,0,0,0,0,0,0,0.0,0
372,15.5,0,0,0,0,0,0,0.0,0
384,16.0,0,0,0,0,0,0,0.0,0
396,16.5,0,0,0,0,0,0,0.0,0
408,17.0,0,0,0,0,1,0,0.0,1
420,17.5,0,0,0,0,1,0,0.0,1
432,18.0,0,0,0,0,1,0,0.0,1
444,18.5,0,0,0,0,1,0,0.0,1
456,19.0,0,0,0,0,1,0,0.0,1
468,19.5,0,0,0,0,1,0,0.0,1
480,20.0,0,0,0,0,1,0,0.0,1
492,20.5,0,0,0,0,1,0,0.0,1
504,21.0,0,0,0,0,0,0,0.0,0
516,21.5,0,0,0,0,0,0,0.0,0
528,22.0,0,0,0,0,0,0,0.0,0
540,22.5,0,0,0,0,0,0,0.0,0
552,23.0,0,0,0,0,0,0,0.0,0
564,23.5,0,0,0,0,0,0,0.0,0
576,24.0,0,0,0,0,0,0,0.0,0
588,24.5,0,0,0,0,0,0,0.0,0
600,25.0,0,0,0,0,0,0,0.0,0
612,25.5,0,0,0,0,0,0,0.0,0
624,26.0,0,0,0,0,0,0,0.0,0
636,26.5,0,0,0,0,0,0,0.0,0
648,27.0,0,0,0,0,0,0,0.0,0
660,27.5,0,0,0,0,0,0,0.0,0
672,28.0,0,0,0,0,0,0,0.0,0
684,28.5,0,0,0,0,0,0,0.0,0
696,29.0,0,0,0,0,0,0,0.0,0
708,29.5,0,0,0,0,0,0,0.0,0
720,30.0,0,0,0,0,0,0,0.0,0
732,30.5,0,0,0,0,0,0,0.0,0
744,31.0,0,0,0,0,0,0,0.0,0
756,31.5,0,0,0,0,0,0,0.0,0
768,32.0,2,0,0,2,0,4,0.0,4
780,32.5,4,0,0,0,0,4,0.0,4
792,33.0,2,0,0,0,0,2,0.0,2
804,33.5,3,0,0,0,0,3,0.0,3
816,34.0,3,0,0,0,0,3,0.0,3
828,34.5,0,0,1,0,0,1,0.0,1
840,35.0,1,0,1,1,0,3,0.0,3
852,35.5,1,0,2,1,0,4,0.0,4
864,36.0,0,0,0,0,0,0,0.0,0
876,36.5,0,0,0,0,0,0,0.0,0
888,37.0,0,0,0,0,0,0,0.0,0
900,37.5,0,0,0,0,0,0,0.0,0
912,38.0,0,0,0,0,2,0,0.0,2
924,38.5,0,0,0,0,3,0,0.0,3
936,39.0,0,0,0,0,4,0,0.0,4
948,39.5,0,0,0,0,5,0,0.0,5
960,40.0,0,0,0,0,2,0,0.0,2
972,40.5,0,0,0,0,2,0,0.0,2
984,41.0,0,0,0,0,1,0,0.0,1
996,41.5,0,0,0,0,0,0,0.0,0
1008,42.0,0,0,0,0,0,0,0.0,0
1020,42.5,0,0,0,0,0,0,0.0,0
1032,43.0,0,0,0,0,0,0,0.0,0
1044,43.5,0,0,0,0,0,0,0.0,0
1056,44.0,0,0,0,0,0,0,0.0,0
1068,44.5,0,0,0,0,2,0,0.0,2
1080,45.0,0,0,0,0,1,0,0.0,1
1092,45.5,0,0,0,0,3,0,0.0,3
1104,46.0,0,0,0,0,3,0,0.0,3
1116,46.5,0,0,0,0,2,0,0.0,2
1128,47.0,0,0,0,0,2,0,0.0,2
1140,47.5,0,0,0,0,1,0,0.0,1
1152,48.0,0,0,0,0,0,0,0.0,0
1164,48.5,10,0,0,2,0,12,0.0,12
1176,49.0,8,0,0,4,0,12,0.0,12
1188,49.5,11,0,1,2,0,14,0.0,14
