frame_index,timestamp_sec,car,motorcycle,bus,truck,pedestrian,total_vehicles,two_wheeler_share_pct,detection_count
0,0.0,14,0,0,1,0,15,0.0,15
12,0.48,18,0,0,0,0,18,0.0,18
24,0.96,14,0,0,2,0,16,0.0,16
36,1.44,14,0,1,1,0,16,0.0,16
48,1.92,11,0,0,1,0,12,0.0,12
60,2.4,10,0,1,1,0,12,0.0,12
72,2.88,11,0,0,1,0,12,0.0,12
84,3.36,9,0,1,1,0,11,0.0,11
96,3.84,10,0,1,1,0,12,0.0,12
108,4.32,12,0,1,1,0,14,0.0,14
120,4.8,14,0,0,1,0,15,0.0,15
132,5.28,14,0,0,1,0,15,0.0,15
144,5.76,9,0,0,4,0,13,0.0,13
156,6.24,13,0,1,3,0,17,0.0,17
168,6.72,13,0,1,3,0,17,0.0,17
180,7.2,15,0,1,3,0,19,0.0,19
192,7.68,14,0,2,1,0,17,0.0,17
204,8.16,14,0,1,3,0,18,0.0,18
216,8.64,13,0,1,2,0,16,0.0,16
228,9.12,14,0,1,3,0,18,0.0,18
240,9.6,15,0,0,3,0,18,0.0,18
252,10.08,12,0,0,3,0,15,0.0,15
264,10.56,15,0,0,2,0,17,0.0,17
276,11.04,13,0,1,1,0,15,0.0,15
288,11.52,17,0,0,2,0,19,0.0,19
300,12.0,17,0,1,2,0,20,0.0,20
312,12.48,14,0,1,2,0,17,0.0,17
324,12.96,12,0,1,1,0,14,0.0,14
336,13.44,13,0,1,1,0,15,0.0,15
348,13.92,13,0,0,1,0,14,0.0,14
360,14.4,15,0,0,1,0,16,0.0,16
372,14.88,14,0,0,2,0,16,0.0,16
384,15.36,14,0,0,1,0,15,0.0,15
396,15.84,13,0,0,1,0,14,0.0,14
408,16.32,14,0,0,1,0,15,0.0,15
420,16.8,15,0,1,1,0,17,0.0,17
432,17.28,15,0,0,1,0,16,0.0,16
444,17.76,16,0,1,1,0,18,0.0,18
456,18.24,15,0,1,1,0,17,0.0,17
468,18.72,15,0,1,1,0,17,0.0,17
480,19.2,15,0,1,2,0,18,0.0,18
492,19.68,14,0,0,0,0,14,0.0,14
504,20.16,14,0,1,0,0,15,0.0,15
516,20.64,15,0,1,1,0,17,0.0,17
528,21.12,14,0,2,1,0,17,0.0,17
540,21.6,13,0,2,0,0,15,0.0,15
552,22.08,16,0,1,1,0,18,0.0,18
564,22.56,14,0,1,0,0,15,0.0,15
576,23.04,13,0,1,0,0,14,0.0,14
588,23.52,14,0,1,1,0,16,0.0,16
600,24.0,15,0,1,1,0,17,0.0,17
612,24.48,16,0,1,1,0,18,0.0,18
624,24.96,16,0,0,1,0,17,0.0,17
636,25.44,17,0,1,0,0,18,0.0,18
648,25.92,17,0,0,1,0,18,0.0,18
660,26.4,17,0,0,0,0,17,0.0,17
672,26.88,16,0,0,0,0,16,0.0,16
684,27.36,16,0,0,1,0,17,0.0,17
696,27.84,16,0,0,0,0,16,0.0,16
708,28.32,16,0,0,0,0,16,0.0,16
720,28.8,16,0,0,0,0,16,0.0,16
732,29.28,13,0,0,0,0,13,0.0,13
744,29.76,14,0,0,0,0,14,0.0,14
