frame_index,timestamp_sec,car,motorcycle,bus,truck,pedestrian,total_vehicles,two_wheeler_share_pct,detection_count
0,0.0,3,0,0,0,0,3,0.0,3
15,0.5,5,0,0,0,0,5,0.0,5
30,1.0,2,0,0,0,0,2,0.0,2
45,1.5,2,0,0,0,0,2,0.0,2
60,2.0,4,0,0,0,0,4,0.0,4
75,2.5,2,0,0,0,0,2,0.0,2
90,3.0,2,0,0,0,0,2,0.0,2
105,3.5,2,0,0,0,0,2,0.0,2
120,4.0,2,0,0,0,0,2,0.0,2
135,4.5,2,0,0,0,0,2,0.0,2
150,5.0,3,0,0,0,0,3,0.0,3
165,5.5,3,0,0,0,0,3,0.0,3
180,6.0,3,0,0,0,0,3,0.0,3
195,6.5,3,0,0,0,0,3,0.0,3
210,7.0,4,0,0,0,0,4,0.0,4
225,7.5,2,0,0,0,0,2,0.0,2
240,8.0,4,0,0,0,0,4,0.0,4
255,8.5,5,0,0,0,0,5,0.0,5
270,9.0,5,0,0,0,0,5,0.0,5
285,9.5,3,0,0,0,0,3,0.0,3
300,10.0,4,0,0,0,0,4,0.0,4
315,10.5,5,0,0,0,0,5,0.0,5
330,11.0,4,0,0,0,0,4,0.0,4
345,11.5,5,0,0,0,0,5,0.0,5
360,12.0,7,0,0,0,0,7,0.0,7
375,12.5,5,0,0,0,0,5,0.0,5
390,13.0,5,0,0,0,0,5,0.0,5
405,13.5,3,0,0,0,0,3,0.0,3
420,14.0,4,0,0,0,0,4,0.0,4
435,14.5,4,0,0,0,0,4,0.0,4
450,15.0,3,0,0,0,0,3,0.0,3
465,15.5,4,0,0,0,0,4,0.0,4
480,16.0,3,0,0,0,0,3,0.0,3
495,16.5,5,0,0,0,0,5,0.0,5
510,17.0,3,0,0,0,0,3,0.0,3
525,17.5,4,0,0,0,0,4,0.0,4
540,18.0,3,0,0,0,0,3,0.0,3
555,18.5,4,0,0,0,0,4,0.0,4
570,19.0,4,0,0,0,0,4,0.0,4
585,19.5,5,0,0,0,0,5,0.0,5
600,20.0,7,0,0,0,0,7,0.0,7
615,20.5,7,0,0,0,0,7,0.0,7
630,21.0,4,0,0,0,0,4,0.0,4
645,21.5,7,0,0,0,0,7,0.0,7
660,22.0,6,0,0,0,0,6,0.0,6
675,22.5,4,0,0,0,0,4,0.0,4
690,23.0,4,0,0,0,0,4,0.0,4
705,23.5,5,0,0,0,0,5,0.0,5
720,24.0,4,0,0,0,0,4,0.0,4
735,24.5,5,0,0,0,0,5,0.0,5
750,25.0,5,0,0,0,0,5,0.0,5
765,25.5,4,0,0,0,0,4,0.0,4
780,26.0,6,0,0,0,0,6,0.0,6
795,26.5,4,0,0,0,0,4,0.0,4
810,27.0,4,0,0,0,0,4,0.0,4
825,27.5,4,0,0,0,0,4,0.0,4
840,28.0,4,0,0,0,0,4,0.0,4
855,28.5,4,1,0,0,0,5,20.0,5
870,29.0,6,0,0,0,0,6,0.0,6
885,29.5,4,0,0,0,0,4,0.0,4
900,30.0,5,0,0,0,0,5,0.0,5
915,30.5,5,0,0,0,0,5,0.0,5
930,31.0,5,0,0,0,0,5,0.0,5
945,31.5,3,0,0,0,0,3,0.0,3
960,32.0,2,0,0,0,0,2,0.0,2
975,32.5,2,0,0,0,0,2,0.0,2
990,33.0,2,0,0,0,0,2,0.0,2
1005,33.5,2,0,0,0,0,2,0.0,2
1020,34.0,3,0,0,0,0,3,0.0,3
1035,34.5,3,0,0,0,0,3,0.0,3
1050,35.0,3,0,0,0,0,3,0.0,3
1065,35.5,3,0,0,0,0,3,0.0,3
1080,36.0,3,0,0,0,0,3,0.0,3
1095,36.5,2,0,0,0,0,2,0.0,2
1110,37.0,2,0,0,0,0,2,0.0,2
1125,37.5,2,0,0,0,0,2,0.0,2
1140,38.0,2,0,0,0,0,2,0.0,2
1155,38.5,3,0,0,0,0,3,0.0,3
1170,39.0,2,0,0,0,0,2,0.0,2
1185,39.5,2,0,0,0,0,2,0.0,2
1200,40.0,2,0,0,0,0,2,0.0,2
1215,40.5,3,0,0,0,0,3,0.0,3
1230,41.0,3,0,0,0,0,3,0.0,3
1245,41.5,3,0,0,0,1,3,0.0,4
1260,42.0,3,0,0,0,2,3,0.0,5
1275,42.5,3,0,0,0,2,3,0.0,5
1290,43.0,3,0,0,0,1,3,0.0,4
1305,43.5,3,0,0,0,2,3,0.0,5
1320,44.0,3,0,0,0,3,3,0.0,6
1335,44.5,2,0,0,0,2,2,0.0,4
1350,45.0,2,1,0,0,3,3,33.3,6
1365,45.5,3,0,0,0,2,3,0.0,5
1380,46.0,3,1,0,0,3,4,25.0,7
1395,46.5,3,0,0,0,0,3,0.0,3
1410,47.0,4,0,0,0,2,4,0.0,6
1425,47.5,3,1,0,0,1,4,25.0,5
1440,48.0,4,0,0,0,0,4,0.0,4
1455,48.5,5,0,0,0,0,5,0.0,5
1470,49.0,4,0,0,0,1,4,0.0,5
1485,49.5,3,0,0,0,2,3,0.0,5
