frame_index,timestamp_sec,car,motorcycle,bus,truck,pedestrian,total_vehicles,two_wheeler_share_pct,detection_count
0,0.0,11,0,1,2,0,14,0.0,14
12,0.48,11,0,1,1,0,13,0.0,13
24,0.96,7,0,1,1,0,9,0.0,9
36,1.44,11,0,1,1,0,13,0.0,13
48,1.92,10,0,1,3,0,14,0.0,14
60,2.4,9,0,0,3,0,12,0.0,12
72,2.88,11,0,1,2,0,14,0.0,14
84,3.36,9,0,0,2,0,11,0.0,11
96,3.84,8,0,0,2,0,10,0.0,10
108,4.32,10,0,0,1,0,11,0.0,11
120,4.8,9,0,1,1,0,11,0.0,11
132,5.28,8,0,1,1,0,10,0.0,10
144,5.76,8,0,1,0,0,9,0.0,9
156,6.24,8,0,1,1,0,10,0.0,10
168,6.72,7,0,1,0,0,8,0.0,8
180,7.2,7,0,0,0,0,7,0.0,7
192,7.68,7,0,1,0,0,8,0.0,8
204,8.16,7,0,0,0,0,7,0.0,7
216,8.64,9,0,0,0,0,9,0.0,9
228,9.12,10,0,0,0,0,10,0.0,10
240,9.6,8,0,0,0,0,8,0.0,8
252,10.08,9,0,2,0,0,11,0.0,11
264,10.56,12,0,2,2,0,16,0.0,16
276,11.04,7,0,2,2,0,11,0.0,11
288,11.52,8,0,2,2,0,12,0.0,12
300,12.0,8,0,1,2,0,11,0.0,11
312,12.48,8,0,3,3,0,14,0.0,14
324,12.96,10,0,3,3,0,16,0.0,16
336,13.44,8,0,1,2,0,11,0.0,11
348,13.92,10,0,1,2,0,13,0.0,13
360,14.4,12,0,0,3,0,15,0.0,15
372,14.88,12,0,1,0,0,13,0.0,13
384,15.36,10,0,1,0,0,11,0.0,11
396,15.84,10,0,0,0,0,10,0.0,10
408,16.32,11,0,0,1,0,12,0.0,12
420,16.8,9,0,0,0,0,9,0.0,9
432,17.28,9,0,0,0,0,9,0.0,9
444,17.76,13,0,0,1,0,14,0.0,14
456,18.24,15,0,1,0,0,16,0.0,16
468,18.72,13,0,1,1,0,15,0.0,15
480,19.2,11,0,1,2,0,14,0.0,14
492,19.68,9,0,1,1,0,11,0.0,11
504,20.16,12,0,1,1,0,14,0.0,14
516,20.64,10,0,2,2,0,14,0.0,14
528,21.12,11,0,2,2,0,15,0.0,15
540,21.6,9,0,1,2,0,12,0.0,12
552,22.08,10,0,2,1,0,13,0.0,13
564,22.56,12,0,0,3,0,15,0.0,15
576,23.04,10,0,2,2,0,14,0.0,14
588,23.52,11,0,3,2,0,16,0.0,16
600,24.0,12,0,1,1,0,14,0.0,14
612,24.48,11,0,1,2,0,14,0.0,14
624,24.96,11,0,0,2,0,13,0.0,13
636,25.44,8,0,2,1,0,11,0.0,11
648,25.92,11,0,1,2,0,14,0.0,14
660,26.4,10,0,3,1,0,14,0.0,14
672,26.88,9,0,2,3,0,14,0.0,14
684,27.36,11,0,0,4,0,15,0.0,15
696,27.84,10,0,2,4,0,16,0.0,16
708,28.32,10,0,1,3,0,14,0.0,14
720,28.8,13,0,0,2,0,15,0.0,15
732,29.28,8,0,3,2,0,13,0.0,13
744,29.76,10,0,1,0,0,11,0.0,11
756,30.24,12,0,1,1,0,14,0.0,14
768,30.72,15,0,1,1,0,17,0.0,17
780,31.2,12,0,1,1,0,14,0.0,14
792,31.68,13,0,1,1,0,15,0.0,15
804,32.16,13,0,1,2,0,16,0.0,16
816,32.64,13,0,2,2,0,17,0.0,17
828,33.12,13,0,1,2,0,16,0.0,16
840,33.6,11,0,1,2,0,14,0.0,14
852,34.08,15,0,1,2,0,18,0.0,18
864,34.56,13,0,2,1,0,16,0.0,16
876,35.04,13,0,2,1,0,16,0.0,16
888,35.52,15,0,1,0,0,16,0.0,16
900,36.0,15,0,1,0,0,16,0.0,16
912,36.48,15,0,1,0,1,16,0.0,17
924,36.96,13,0,1,0,0,14,0.0,14
936,37.44,12,0,1,0,0,13,0.0,13
948,37.92,16,0,1,0,0,17,0.0,17
960,38.4,13,0,1,0,1,14,0.0,15
972,38.88,12,0,1,0,0,13,0.0,13
984,39.36,13,0,0,0,0,13,0.0,13
996,39.84,15,0,1,0,0,16,0.0,16
1008,40.32,15,0,1,0,0,16,0.0,16
1020,40.8,12,0,1,0,0,13,0.0,13
1032,41.28,12,0,0,0,0,12,0.0,12
1044,41.76,14,0,0,0,0,14,0.0,14
1056,42.24,14,0,0,0,0,14,0.0,14
1068,42.72,14,0,0,0,0,14,0.0,14
1080,43.2,11,0,0,0,0,11,0.0,11
1092,43.68,14,0,0,0,0,14,0.0,14
1104,44.16,12,0,0,1,0,13,0.0,13
1116,44.64,15,0,0,1,0,16,0.0,16
1128,45.12,12,0,0,0,0,12,0.0,12
1140,45.6,12,0,0,0,0,12,0.0,12
1152,46.08,12,0,0,0,0,12,0.0,12
1164,46.56,12,0,0,0,0,12,0.0,12
1176,47.04,12,0,0,0,0,12,0.0,12
1188,47.52,13,0,0,0,0,13,0.0,13
